time,open,high,low,close,volume
2020-12-18 20:00:00,218.57,218.79,218.57,218.75,4389
2020-12-18 19:45:00,218.44,218.49,218.44,218.47,4835
2020-12-18 19:30:00,218.59,218.59,218.43,218.43,6225
2020-12-18 19:15:00,218.59,218.59,218.51,218.51,6894
2020-12-18 19:00:00,218.38,218.59,218.38,218.59,5363
2020-12-18 18:45:00,218.35,218.41,218.35,218.41,338
2020-12-18 18:30:00,218.45,218.56,218.45,218.5,2727
2020-12-18 18:15:00,218.34,218.34,218.34,218.34,255
2020-12-18 18:00:00,218.4,218.47,218.4,218.46,1708
2020-12-18 17:45:00,218.55,218.59,218.4,218.42,84880
2020-12-18 17:30:00,218.5,218.7001,218.47,218.5,5932
2020-12-18 17:15:00,218.4998,218.59,218.44,218.52,80037
2020-12-18 17:00:00,218.85,218.89,218.5,218.5,28901
2020-12-18 16:45:00,218.48,218.89,218.41,218.85,110936
2020-12-18 16:30:00,218.58,218.9,218.48,218.48,2295341
2020-12-18 16:15:00,218.59,219.49,218.3129,218.55,3632547
2020-12-18 16:00:00,217.71,219.21,217.48,218.15,4242936
2020-12-18 15:45:00,216.88,217.78,216.84,217.71,1654271
2020-12-18 15:30:00,216.87,216.97,216.41,216.87,978777
2020-12-18 15:15:00,216.14,216.88,216.02,216.8757,798867
2020-12-18 15:00:00,216.88,217.01,216.05,216.14,1064142
2020-12-18 14:45:00,216.46,216.9,216.43,216.87,654396
2020-12-18 14:30:00,216.915,216.95,216.3121,216.45,717930
2020-12-18 14:15:00,217.54,217.62,216.87,216.91,788598
2020-12-18 14:00:00,217.55,217.65,217.25,217.54,484890
2020-12-18 13:45:00,217.76,217.78,217.4011,217.56,591537
2020-12-18 13:30:00,218.07,218.1,217.59,217.7601,524695
2020-12-18 13:15:00,218.035,218.2,217.85,218.0501,503863
2020-12-18 13:00:00,218.46,218.46,217.9532,218.035,570334
2020-12-18 12:45:00,218.4459,218.56,218.15,218.46,537102
2020-12-18 12:30:00,218.17,218.45,218.03,218.445,486658
2020-12-18 12:15:00,218.14,218.28,217.89,218.1638,549197
2020-12-18 12:00:00,218.575,218.75,218.13,218.13,524118
2020-12-18 11:45:00,218.24,218.6,218.12,218.57,842507
2020-12-18 11:30:00,217.77,218.35,217.45,218.24,945201
2020-12-18 11:15:00,218.17,218.34,217.64,217.7501,829465
2020-12-18 11:00:00,217.85,218.275,217.61,218.145,811979
2020-12-18 10:45:00,217.4979,217.91,217.42,217.86,806377
2020-12-18 10:30:00,217.299,217.64,217.14,217.49,1315493
2020-12-18 10:15:00,218.17,218.17,216.97,217.3,1453771
2020-12-18 10:00:00,218.18,218.56,217.98,218.195,926563
2020-12-18 09:45:00,218.59,219.69,218.05,218.18,7982449
2020-12-18 09:30:00,218.7,219.21,218.15,218.69,156344
2020-12-18 09:15:00,218.16,218.66,218.16,218.5,30270
2020-12-18 09:00:00,218.4,218.4,218.1501,218.16,16949
2020-12-18 08:45:00,218.15,218.4,218.08,218.4,79408
2020-12-18 08:30:00,218.2,219.42,218.13,218.14,138962
2020-12-18 08:15:00,218.59,218.95,218.0,218.15,25704
2020-12-18 08:00:00,218.5,218.65,218.0,218.06,34495
2020-12-18 07:45:00,218.6,218.6,218.32,218.5,25397
2020-12-18 07:30:00,218.6,218.78,218.55,218.6,10883
2020-12-18 07:15:00,218.37,218.73,218.36,218.6,20324
2020-12-18 07:00:00,218.5,218.5,218.37,218.5,14938
2020-12-18 06:45:00,218.5,218.69,218.33,218.39,4183
2020-12-18 06:30:00,218.84,218.84,218.41,218.5,11053
2020-12-18 06:15:00,218.5,218.84,218.5,218.84,5425
2020-12-18 06:00:00,218.66,218.66,218.03,218.48,8600
2020-12-18 05:45:00,218.91,218.91,218.91,218.91,326
2020-12-18 05:30:00,218.85,219.13,218.85,219.13,1268
2020-12-18 05:15:00,218.85,218.85,218.85,218.85,547
2020-12-18 04:45:00,219.05,219.05,219.0,219.0,436
2020-12-18 04:30:00,219.2,219.2,219.17,219.17,250
2020-12-18 04:15:00,219.38,219.4,219.38,219.39,1237
2020-12-17 20:00:00,218.34,218.5,218.34,218.5,4929
2020-12-17 19:45:00,218.12,218.35,218.01,218.35,1575
2020-12-17 19:30:00,218.3201,218.36,218.24,218.25,1870
2020-12-17 19:15:00,218.4,218.4,218.36,218.37,3839
2020-12-17 19:00:00,218.4,218.4,218.36,218.4,10862
2020-12-17 18:45:00,218.38,218.4,218.14,218.4,4595
2020-12-17 18:30:00,218.65,218.72,218.2,218.2,10571
2020-12-17 18:15:00,218.25,218.73,218.25,218.6299,4809
2020-12-17 18:00:00,217.75,218.43,217.66,218.2,20197
2020-12-17 17:45:00,219.29,219.29,217.5,217.76,41634
2020-12-17 17:30:00,219.27,219.28,219.25,219.25,1084
2020-12-17 17:15:00,219.31,219.3102,219.26,219.26,1826
2020-12-17 17:00:00,219.3,219.3602,219.3,219.3602,1241482
2020-12-17 16:45:00,219.25,219.3,219.25,219.2575,75763
2020-12-17 16:30:00,219.42,219.45,219.3,219.3,335267
2020-12-17 16:15:00,219.42,219.68,219.25,219.42,1758833
2020-12-17 16:00:00,218.785,219.5,218.6,219.42,2221577
2020-12-17 15:45:00,218.555,218.83,218.31,218.78,794149
2020-12-17 15:30:00,218.571,218.92,218.5,218.55,563137
2020-12-17 15:15:00,218.66,218.7465,218.27,218.57,580101
2020-12-17 15:00:00,218.685,218.9099,218.53,218.66,558375
2020-12-17 14:45:00,218.88,219.02,218.48,218.69,646514
2020-12-17 14:30:00,219.175,219.35,218.87,218.8729,489001
2020-12-17 14:15:00,219.32,219.35,219.07,219.175,420317
2020-12-17 14:00:00,219.19,219.37,219.17,219.33,459145
2020-12-17 13:45:00,219.28,219.31,219.06,219.19,556673
2020-12-17 13:30:00,219.4576,219.61,219.2,219.27,652537
2020-12-17 13:15:00,218.88,219.72,218.88,219.4612,780997
2020-12-17 13:00:00,218.79,218.95,218.77,218.87,466391
2020-12-17 12:45:00,218.62,218.91,218.45,218.78,489988
2020-12-17 12:30:00,218.3761,218.77,218.29,218.63,466679
2020-12-17 12:15:00,218.6597,218.789,218.28,218.38,724045
2020-12-17 12:00:00,218.11,218.66,217.92,218.65,897880
2020-12-17 11:45:00,218.48,218.53,218.05,218.125,679597
2020-12-17 11:30:00,218.1889,218.57,218.13,218.48,661366
2020-12-17 11:15:00,218.13,218.54,218.0721,218.18,799811
2020-12-17 11:00:00,218.51,218.67,218.07,218.1379,1089346
2020-12-17 10:45:00,219.24,219.28,218.33,218.505,1328757
2020-12-17 10:30:00,218.45,219.24,218.17,219.22,1485791
2020-12-17 10:15:00,219.56,219.64,218.3076,218.435,1408439
2020-12-17 10:00:00,220.16,220.19,219.23,219.56,2286052
2020-12-17 09:45:00,219.87,220.89,219.7,220.17,2335135
2020-12-17 09:30:00,219.79,220.0,219.52,219.77,43043
2020-12-17 09:15:00,219.63,219.81,219.6,219.79,19757
2020-12-17 09:00:00,219.6135,219.8,219.6135,219.6862,6577
2020-12-17 08:45:00,219.51,219.72,219.4,219.62,14028
2020-12-17 08:30:00,219.82,219.82,219.47,219.63,14688
2020-12-17 08:15:00,219.8001,219.95,218.82,219.8,25914
2020-12-17 08:00:00,219.82,220.0,219.82,219.9,15388
2020-12-17 07:45:00,219.77,219.89,219.77,219.81,5793
2020-12-17 07:30:00,219.8,219.85,219.64,219.69,5896
2020-12-17 07:15:00,219.86,219.91,219.71,219.86,16234
2020-12-17 07:00:00,219.9,219.9,219.7,219.74,2824
2020-12-17 06:45:00,220.3,220.3,219.8,219.8,4605
2020-12-17 06:30:00,220.1,220.3,220.1,220.3,1083
2020-12-17 06:15:00,220.12,220.12,220.1,220.1,300
2020-12-17 06:00:00,220.21,220.21,220.2,220.2,475
2020-12-17 05:45:00,220.22,220.22,220.22,220.22,300
2020-12-17 05:30:00,220.3,220.3,220.3,220.3,221
2020-12-17 05:15:00,220.62,220.62,220.61,220.61,300
2020-12-17 05:00:00,220.61,220.72,220.61,220.71,868
2020-12-17 04:45:00,220.6,220.6,220.6,220.6,171
2020-12-17 04:30:00,220.51,220.51,220.44,220.51,316
2020-12-17 04:15:00,219.9,220.73,219.9,220.6,2503
2020-12-16 20:00:00,219.4,219.4,219.2,219.22,4653
2020-12-16 19:45:00,219.26,219.46,219.26,219.46,1537
2020-12-16 19:30:00,219.3,219.3,219.16,219.25,1877
2020-12-16 19:15:00,219.35,219.38,219.25,219.38,3466
2020-12-16 19:00:00,219.4,219.45,219.38,219.38,1515
2020-12-16 18:45:00,219.45,219.45,219.35,219.45,1756
2020-12-16 18:30:00,219.31,219.4,219.31,219.4,1682
2020-12-16 18:15:00,219.3,219.5,219.29,219.29,5105
2020-12-16 18:00:00,219.2,219.2,219.2,219.2,935
2020-12-16 17:45:00,219.2,219.72,219.14,219.2,14313
2020-12-16 17:30:00,219.18,219.28,219.15,219.18,1233
2020-12-16 17:15:00,219.14,219.14,219.05,219.1,1890
2020-12-16 17:00:00,219.21,219.2767,219.03,219.03,1290
2020-12-16 16:45:00,218.9965,219.44,218.9513,219.38,55618
2020-12-16 16:30:00,219.1,219.12,218.9002,218.95,77065
2020-12-16 16:15:00,219.28,219.28,219.04,219.06,2024497
2020-12-16 16:00:00,219.88,219.91,219.0,219.19,2569426
2020-12-16 15:45:00,219.93,220.11,219.75,219.88,1514591
2020-12-16 15:30:00,219.67,220.0,219.535,219.92,805601
2020-12-16 15:15:00,219.76,219.95,219.59,219.6702,676423
2020-12-16 15:00:00,219.78,219.8699,219.5501,219.75,714252
2020-12-16 14:45:00,219.075,219.93,219.0716,219.7835,827189
2020-12-16 14:30:00,218.9201,219.14,218.66,219.065,726098
2020-12-16 14:15:00,219.78,219.96,218.61,218.92,1258045
2020-12-16 14:00:00,219.4779,219.96,219.4121,219.77,846345
2020-12-16 13:45:00,218.93,219.5,218.9277,219.48,785956
2020-12-16 13:30:00,219.16,219.28,218.86,218.93,514875
2020-12-16 13:15:00,218.8836,219.16,218.79,219.155,539289
2020-12-16 13:00:00,218.948,219.03,218.46,218.9,950183
2020-12-16 12:45:00,218.77,219.0,218.42,218.93,872649
2020-12-16 12:30:00,218.97,219.15,218.6002,218.77,688024
2020-12-16 12:15:00,219.19,219.35,218.81,218.975,948871
2020-12-16 12:00:00,218.9,219.19,218.71,219.18,1117600
2020-12-16 11:45:00,217.99,218.9,217.9338,218.89,1104998
2020-12-16 11:30:00,218.0571,218.17,217.46,217.995,894298
2020-12-16 11:15:00,217.13,218.1,217.13,218.06,1015757
2020-12-16 11:00:00,217.41,217.6601,217.05,217.13,1040078
2020-12-16 10:45:00,216.66,217.45,216.572,217.4191,1347841
2020-12-16 10:30:00,216.14,216.74,215.83,216.6724,1032826
2020-12-16 10:15:00,215.9086,216.5,215.72,216.1429,984708
2020-12-16 10:00:00,215.58,216.643,215.51,215.98,1823263
2020-12-16 09:45:00,214.75,215.62,214.72,215.5711,1984521
2020-12-16 09:30:00,214.65,214.85,214.5,214.73,16489
2020-12-16 09:15:00,214.5,214.6396,214.45,214.5284,10001
2020-12-16 09:00:00,214.48,214.6,214.4091,214.5,7632
2020-12-16 08:45:00,214.48,214.64,214.43,214.48,10223
2020-12-16 08:30:00,214.88,214.9,214.5,214.5,6439
2020-12-16 08:15:00,214.83,214.969,213.6,214.95,15584
2020-12-16 08:00:00,214.85,214.85,214.8,214.8,1957
2020-12-16 07:45:00,214.7,214.98,214.7,214.85,4067
2020-12-16 07:30:00,214.75,214.75,214.7,214.7,3116
2020-12-16 07:15:00,215.0,215.0,214.64,214.8,10948
2020-12-16 07:00:00,214.97,215.01,214.91,215.01,2645
2020-12-16 06:45:00,214.77,215.1,214.77,214.9,7803
2020-12-16 06:30:00,214.61,214.77,214.39,214.77,2943
2020-12-16 06:15:00,214.31,214.95,214.3,214.59,9214
2020-12-16 06:00:00,214.19,214.22,214.19,214.22,907
2020-12-16 05:45:00,214.32,214.32,214.18,214.18,1866
2020-12-16 04:45:00,214.49,214.5,214.49,214.5,1030
2020-12-16 04:15:00,214.4,214.4,214.4,214.4,2000
2020-12-15 20:00:00,214.0,214.19,214.0,214.1,5112
2020-12-15 19:45:00,214.1,214.1,214.0,214.08,1602
2020-12-15 19:30:00,214.06,214.06,214.02,214.04,953
2020-12-15 19:15:00,214.1,214.15,214.06,214.06,3070
2020-12-15 19:00:00,214.05,214.09,214.04,214.09,1740
2020-12-15 18:45:00,214.04,214.05,214.03,214.03,1786
2020-12-15 18:30:00,214.1,214.1,214.06,214.06,905
2020-12-15 18:15:00,214.19,214.3,214.1,214.1,221938
2020-12-15 18:00:00,214.1,214.2,214.06,214.2,1586
2020-12-15 17:45:00,214.06,214.15,214.05,214.12,3130
2020-12-15 17:30:00,214.13,214.13,214.04,214.13,1436
2020-12-15 17:15:00,214.4645,214.4645,214.04,214.06,1881
2020-12-15 17:00:00,214.06,214.13,214.05,214.1,80129
2020-12-15 16:45:00,214.0,214.08,214.0,214.02,1182
2020-12-15 16:30:00,214.1,214.15,214.0,214.13,8898
2020-12-15 16:15:00,214.13,214.24,214.04,214.1,2577670
2020-12-15 16:00:00,214.01,214.21,213.7,214.16,1798485
2020-12-15 15:45:00,213.95,214.07,213.61,214.0101,702734
2020-12-15 15:30:00,213.61,214.05,213.5,213.95,761835
2020-12-15 15:15:00,213.415,213.7199,213.33,213.6,604758
2020-12-15 15:00:00,213.39,213.53,213.3,213.41,457499
2020-12-15 14:45:00,213.275,213.53,213.2521,213.41,503486
2020-12-15 14:30:00,213.21,213.32,213.07,213.2701,463787
2020-12-15 14:15:00,213.11,213.28,212.9346,213.21,594293
2020-12-15 14:00:00,212.99,213.21,212.9501,213.1127,780221
2020-12-15 13:45:00,213.2,213.33,212.91,212.98,940553
2020-12-15 13:30:00,213.56,213.61,213.14,213.1953,496863
2020-12-15 13:15:00,213.39,213.77,213.31,213.57,449423
2020-12-15 13:00:00,213.185,213.46,213.13,213.4,533889
2020-12-15 12:45:00,212.975,213.39,212.895,213.17,470260
2020-12-15 12:30:00,212.77,213.26,212.74,212.97,607577
2020-12-15 12:15:00,212.81,213.02,212.6901,212.78,499137
2020-12-15 12:00:00,212.9,212.93,212.4,212.8,470654
2020-12-15 11:45:00,212.98,212.99,212.66,212.9,524592
2020-12-15 11:30:00,212.595,213.03,212.39,212.99,855102
2020-12-15 11:15:00,212.8816,212.91,212.24,212.59,873227
2020-12-15 11:00:00,213.2,213.47,212.76,212.89,1037943
2020-12-15 10:45:00,213.6767,213.68,213.05,213.19,1086814
2020-12-15 10:30:00,213.9,214.04,213.61,213.67,705525
2020-12-15 10:15:00,213.655,214.2,213.41,213.91,992854
2020-12-15 10:00:00,213.76,214.09,213.58,213.635,999730
